State,Year,HLp,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC,Pop_with_insur,Pop_without_insur,Total_population,Population_under_5yr,White_alone_male_under_5yr,White_alone_female_under_5yr,Black_male_under_5yr,Black_female_under_5yr,Median_household_income,White_under_5yr,Black_under_5yr,Percent_insured,Percent_uninsured,percent_White_under_5yr,percent_Black_under_5yr,Health_Spending_per_Capita
Maryland,2015,1.5060889022763457,15.233013468737898,2.4527733551357636,2.381054835979747,10.41352898145359,1.17618371415867,0.7458725992225713,99.1255758403003,0.8744241596997099,3.0724213606437454,109.1970121381886,9.523809523809524,63.743609909555644,8.636644046884639,68.36158192090396,14.46280991735537,55.23809523809524,16.101694915254235,78.0952380952381,49.523809523809526,2142,2339,1621,1481,140,166,82,52,70332,69717,615,388,12,1,0,67174,718,1092,128,204,725,68655,1062,105,620,58,171,82,0,52,0,5313662,523072,5930538,367722,92372,88265,58292,56402,74551,180637,114694,89.5983130029687,8.81997552329991,49.123250716573935,31.190410146795678,9001
Massachusetts,2015,2.550555656768082,17.573608755973485,0.7847863559286405,0.9949969869809548,15.807839455134046,2.1581624788037614,1.5275305856468182,99.11795755083898,0.8820424491610178,NA,NA,NA,NA,NA,89.95215311004785,16.134751773049647,69.78021978021978,4.4657097288676235,84.61538461538461,59.89010989010989,NA,NA,NA,NA,NA,71,154,109,71992,71357,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,1127,70103,1254,182,945,127,56,154,0,109,NA,6391805,235963,6705586,365841,130734,124396,18561,16891,68563,255130,35452,95.32060285260677,3.5189020020025095,69.73794626627414,9.690548626315804,11010
Michigan,2015,1.4812540079662564,11.443590415202724,5.021812368470967,0.9483638465637616,5.482446236801937,0.7767551505188905,0.4516018316970294,99.12085157432027,0.8791484256797285,NA,NA,NA,NA,NA,47.90844514601421,27.01812191103789,50,43.88318863456985,52.4390243902439,30.48780487804878,NA,NA,NA,NA,NA,105,86,50,111699,110717,982,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,109450,1267,164,442,82,556,86,0,50,NA,8845904,943241,9900571,575786,209333,199887,50101,48107,49576,409220,98208,89.34741238661891,9.527137374197912,71.07154394167277,17.05633690294658,8372
Minnesota,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4983791,377070,5419171,349261,133291,126998,15457,14594,61492,260289,30051,91.96592984425108,6.958075321852733,74.52564128259382,8.604167084214957,9163
Mississippi,2015,1.573521432447097,14.134563212154097,2.794357026587086,0.5697232772653282,10.797612588171459,1.3564839934888768,0.8410200759631036,98.56405594031607,1.435944059683932,2.4986435160065112,144.84256243213898,34.093376764386534,80.94660194174757,15.517241379310345,76.3915547024952,14.572864321608039,58.620689655172406,19.769673704414586,86.20689655172413,53.44827586206896,921,1334,1334,1127,207,21,50,31,37397,36860,537,709,0,18,0,35212,0,400,207,314,397,36339,521,58,339,34,103,50,0,31,0,2459002,462187,2988081,197733,52482,49631,42718,41332,39665,102113,84050,82.29368614840094,15.46768645160556,51.64186048863873,42.50681474513612,7777
Missouri,2015,1.620897521768252,15.284661754855994,4.849296718017415,1.058271935699933,9.390488948425988,1.2056262558606832,0.9243134628265238,98.00961058740121,1.9903894125987975,3.608841259209645,100.1855976243504,0,61.68951463505002,6.426426426426427,61.43733567046451,17.261055634807416,65.28925619834712,31.72655565293602,74.3801652892562,57.02479338842975,2694,2699,1665,1558,107,79,90,69,76166,74650,1516,5,0,0,0,71951,1034,1553,107,0,700,73509,1141,121,579,79,362,90,0,69,0,5205916,726533,6045448,376772,146889,139486,25380,25729,48173,286375,51109,86.11298947571792,12.017852109554164,76.00750586561634,13.564967672757,8261
Montana,2015,1.8778576094056172,26.53494448073155,18.04376224689745,3.919007184846506,4.653821032005226,1.4696276943174396,0.8164598301763554,97.74940143655228,2.2505985634477255,8.564663618549966,131.83984747378457,2.9551954242135365,84.93635077793493,9.325562031640299,17.53846153846154,40.35087719298245,43.47826086956522,68,78.26086956521739,43.47826086956522,1049,1383,1201,1089,112,48,18,10,12530,12248,282,317,28,16,4,10834,182,756,80,31,56,11923,325,23,33,10,221,15,3,7,3,843946,155267,1014699,60697,25273,24494,139,80,47169,49767,219,83.17205397856901,15.301779148299149,81.99252022340478,0.36080860668566817,8344
Nebraska,2015,2.187696985427713,5.969817197523081,0.8157514182950796,0.7045125885275687,4.486632800622938,1.4090251770551374,1.038229077830101,99.43954868920763,0.5604513107923749,3.322333049056324,107.25446428571428,7.03125,91.11328125,7.502679528403002,75.15527950310559,48.760330578512395,62.71186440677966,13.664596273291925,64.40677966101694,47.45762711864407,896,961,933,863,70,19,38,28,27121,26969,152,81,3,44,0,25945,28,738,67,63,120,26808,161,59,61,37,22,38,0,28,0,1651833,189101,1869365,130036,55184,51577,3982,4018,52997,106761,8000,88.36332123475084,10.115787981480343,82.10111046171829,6.1521424836199206,8579
Nevada,2015,1.498170503327667,13.714022299691722,5.3012187040825145,1.6998473018525455,6.741767264974502,1.3253046760206286,1.0660059350600708,96.56141327027403,3.4385867297259702,2.4662191362470827,83.41121495327103,17.640186915887853,82.19653179190752,45.28832630098453,49.159663865546214,22.22222222222222,38.46153846153847,38.655462184873954,88.46153846153845,71.15384615384616,856,714,711,389,322,59,46,37,35945,34709,1236,3,5,0,1,33844,3,386,316,151,233,34233,476,52,181,20,184,46,0,37,0,2258127,505573,2798636,178808,57283,53843,8651,8173,51847,111126,16824,80.68669880613271,18.064978796813875,62.14822603015525,9.408974989933336,6987
New Hampshire,2015,2.4840606110789105,34.11443239215037,5.878943446220088,1.4904363666473461,26.827854599652234,2.0700505092324253,1.6560404073859403,98.01168641454309,1.9883135854569065,NA,NA,NA,NA,NA,78.64077669902912,9.25925925925926,60,17.233009708737864,83.33333333333334,66.66666666666666,NA,NA,NA,NA,NA,18,25,20,12322,12077,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,11665,412,30,293,18,71,25,0,20,NA,1187005,122052,1324201,65592,29905,28630,609,383,66779,58535,992,89.63933723052618,9.217029740953224,89.24106598365654,1.5123795584827417,9763
New Jersey,2015,1.1494023107983848,7.5760604485667455,3.1583576540199094,0.4497661216167593,3.977931475632671,0.8495582297205454,0.5397193459401111,99.21659625949505,0.7834037405049484,2.2938072202454722,97.69063180827887,12.766884531590414,77.55424063116371,9.613428280773144,52.5065963060686,28.894472361809044,53.04347826086957,41.68865435356201,73.91304347826086,46.95652173913044,2295,2242,1966,1777,189,45,85,54,100842,100052,790,205,20,15,0,97517,276,1557,169,293,397,99294,758,115,282,61,316,85,0,54,NA,7773154,1023450,8904413,533644,165117,156908,39037,38954,72093,322025,77991,87.29552414067048,11.493739115649735,60.344536807309744,14.614799379361523,9483
New Mexico,2015,2.5413507925568575,18.17711922811854,8.227084769124742,0.8184011026878014,9.174707098552723,1.4645072363886975,0.5599586492074432,95.72424030016904,4.275759699830949,NA,NA,NA,NA,NA,50.4739336492891,27.699530516431924,59.32203389830508,45.26066350710901,57.6271186440678,22.033898305084744,NA,NA,NA,NA,NA,19,34,13,24253,23216,1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,22794,422,59,153,35,191,34,0,13,0,1713355,336347,2084117,137989,47578,45426,1752,1413,44963,93004,3165,82.21011584282456,16.138585309749885,67.3995753284682,2.293661088927378,7418
New York,2015,1.3234687900023865,11.512008852053546,7.680458223948276,0.26035451606604326,3.5755353539736605,1.1629168384283266,0.6942787095094487,96.79607531827136,3.2039246817286404,3.0413746718448285,399.0583535454416,0.7276358967042375,99.58959351914636,9.094818318641153,31.05917828872974,37.01456310679612,49.18032786885246,66.71692423671315,87.8688524590164,52.459016393442624,7009,27970,27906,25368,2538,60,268,160,238083,230455,7628,20699,304,0,9,202434,64,4669,2225,51,823,227802,2653,305,518,150,1770,268,0,160,0,17550259,1877051,19673174,1176432,341759,324749,100557,97518,59269,666508,198075,89.20908746092522,9.541170123336478,56.655038285255756,16.83692725121384,10305
North Carolina,2015,1.6590149393473994,6.890661059962713,2.053236311073514,0.895211031628052,3.950426662505441,1.2894324033541669,0.6981003457649948,99.16277781849871,0.837222181501299,2.547655614780016,96.5183752417795,4.513217279174726,84.93937460114869,13.786626596543952,57.33015494636472,41.995841995842,54.45544554455446,29.797377830750893,77.72277227722772,42.07920792079208,3102,2994,2662,2295,367,109,157,85,122787,121759,1028,22,2,5,3,118625,332,2268,362,140,480,120920,839,202,278,110,250,155,2,83,2,8259444,1390162,9845333,611170,190971,183025,70729,68162,46868,373996,138891,83.89197196275636,14.12000995801767,61.19344863131371,22.725428276911497,7594
