State,Year,HL,Total_population,Black_under_5yr,White_under_5yr,Pop_with_insur,Median_household_income,Health_Spending_per_Capita
Indiana,2018,193,6637426,46522,323540,5941997,54325,9297
Iowa,2018,86,3132499,10262,166006,2936373,58580,8812
Kansas,2018,66,2908776,12648,154705,2592817,57422,8381
Kentucky,2018,50,4440204,22833,224410,4091779,48392,9332
Louisiana,2018,64,4663616,111626,170666,4072162,47942,9217
Maine,2018,23,1332813,1639,57502,1207993,55425,10950
Maryland,2018,66,6003435,110511,177487,5525043,81868,9934
Massachusetts,2018,184,6830193,35566,249399,6566545,77378,12215
Michigan,2018,154,9957488,96491,406869,9250420,54938,9142
Missouri,2018,95,6090062,51725,282205,5395736,53560,9032
Montana,2018,12,1041732,186,50533,921676,52559,9354
Nebraska,2018,59,1904760,7669,107341,1717637,59116,9492
Nevada,2018,57,2922849,19265,106040,2543371,57598,7892
New Hampshire,2018,17,1343622,1224,57184,1239969,74057,10974
New Jersey,2018,112,8881845,74277,316612,8033794,79363,10665
New Mexico,2018,36,2092434,2309,90666,1837116,48059,8154
New York,2018,375,19618453,192771,649801,18123450,65323,12098
North Carolina,2018,226,10155624,131644,368334,8851312,52413,8285
North Dakota,2018,23,752201,2328,41843,681756,63473,10269
Ohio,2018,278,11641879,103775,512696,10725441,54533,9627
Oklahoma,2018,71,3918137,20601,166747,3291998,51424,8625
Oregon,2018,103,4081943,4944,182457,3748383,59393,9168
Pennsylvania,2018,193,12791181,99041,511566,11802355,59445,10910
Rhode Island,2018,43,1056611,4808,38406,986610,63296,10464
South Carolina,2018,101,4955925,85577,174610,4323261,51015,7975
South Dakota,2018,15,864289,1762,44714,767332,56499,11086
Tennessee,2018,122,6651089,78778,284047,5886791,50972,8565
Texas,2018,450,27885195,235650,1439767,22652748,59570,7711
Utah,2018,87,3045350,3086,209949,2717818,68374,7008
Vermont,2018,10,624977,581,27104,593534,60076,11797
Virginia,2018,145,8413774,98779,315032,7441903,71564,8425
Washington,2018,174,7294336,19726,307952,6699539,70116,8588
West Virginia,2018,14,1829054,3674,89524,1683444,44921,11337
Wisconsin,2018,122,5778394,30842,255772,5376782,59209,9244
Wyoming,2018,17,581836,447,32674,507036,62268,9787
Alaska,2019,16,737068,1430,29169,615200,77640,13226
Arizona,2019,186,7050299,22210,304535,6217481,58945,8145
Arkansas,2019,62,2999370,34035,130637,2694603,47597,8853
California,2019,915,39283497,128609,1354864,35872267,75235,9628
Connecticut,2019,93,3575074,22888,121575,3336643,78444,11831
Delaware,2019,16,957248,13182,32774,888273,68287,12213
District of Columbia,2019,8,692683,21653,15405,657549,86420,13934
Florida,2019,257,20901636,233982,745062,17951164,55660,9490
Georgia,2019,164,10403847,219642,342899,8862562,58700,8243
Hawaii,2019,64,1422094,1563,20086,1316593,81275,9555
Idaho,2019,49,1717750,1061,98759,1516989,55785,7723
Illinois,2019,311,12770631,119659,501181,11731871,65886,9496
Indiana,2019,169,6665703,46009,323144,6014666,56303,9927
Iowa,2019,57,3139508,10656,165099,2951518,60523,9193
